
🌟4K,#genre#
青岛崂山灵旗峰,http://gcalic.v.myalicdn.com/gc/qdls01_1/index.m3u8
青岛崂山八水河,http://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
三亚南山文化旅游区海上观音,http://gcalic.v.myalicdn.com/gc/syns01_1/index.m3u8
仙都风景区,http://gcalic.v.myalicdn.com/gc/xdfjq01_1/index.m3u8
宁夏黄河大峡谷,http://gcalic.v.myalicdn.com/gc/hhdxg01_1/index.m3u8
张掖七彩丹霞,http://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
嵩山少林寺广场,http://gcalic.v.myalicdn.com/gc/zsslsgc_1/index.m3u8
婺源01,http://gcalic.v.myalicdn.com/gc/wygjt1_1/index.m3u8
神农架金丝猴01,http://gcalic.v.myalicdn.com/gc/jshhd01_1/index.m3u8
都江堰鱼嘴,http://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
丹霞山丹梯铁锁,http://gcalic.v.myalicdn.com/gc/dxsdtts_1/index.m3u8
丹霞山韶音亭,http://gcalic.v.myalicdn.com/gc/dxssyt_1/index.m3u8
云南红河哈尼梯田多依树景点,http://gcalic.v.myalicdn.com/gc/hnttdysjd_1/index.m3u8
云南红河哈尼梯田普高老寨,http://gcalic.v.myalicdn.com/gc/hnttpgsz_1/index.m3u8
云南红河哈尼梯田老虎嘴,http://gcalic.v.myalicdn.com/gc/hnttlhzjd_1/index.m3u8
江西龙虎山中间水泡,http://gcalic.v.myalicdn.com/gc/lhszjsp_1/index.m3u8
江西龙虎山山涧栈道,http://gcalic.v.myalicdn.com/gc/lhssjzd_1/index.m3u8
乐山大佛全景,http://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
福建武夷山玉女峰,http://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8
为天使护航,http://gcalic.v.myalicdn.com/gc/zsslsfwsgz_1/index.m3u8

直播中国精编直播,http://gctxyc.liveplay.myqcloud.com/gc/wgw05_1/index.m3u8
湖南张家界水绕四门,http://gctxyc.liveplay.myqcloud.com/gc/zjjsrsm_1/index.m3u8
湖南张家界将军列队,http://gctxyc.liveplay.myqcloud.com/gc/zjjjjdl_1/index.m3u8
湖南张家界阿凡达悬浮山,http://gctxyc.liveplay.myqcloud.com/gc/zjjafdxfs_1/index.m3u8
湖南张家界迷魂台,http://gctxyc.liveplay.myqcloud.com/gc/zjjmht_1/index.m3u8
湖南张家界宝峰湖,http://gctxyc.liveplay.myqcloud.com/gc/zjjbfh_1/index.m3u8
湖南张家界御笔峰,http://gctxyc.liveplay.myqcloud.com/gc/zjjybf_1/index.m3u8
四川峨眉山云海日出,http://gctxyc.liveplay.myqcloud.com/gc/emsarm_1/index.m3u8
四川峨眉山远眺贡嘎雪山,http://gctxyc.liveplay.myqcloud.com/gc/emsyh_1/index.m3u8
四川峨眉山普贤菩萨铜像,http://gctxyc.liveplay.myqcloud.com/gc/emspxps_1/index.m3u8
四川峨眉山远眺万佛顶,http://gctxyc.liveplay.myqcloud.com/gc/emswfs_1/index.m3u8
浙江杭州云栖小镇,http://gctxyc.liveplay.myqcloud.com/gc/wygjt2_1/index.m3u8
重庆石柱华溪村,http://gctxyc.liveplay.myqcloud.com/gc/jsh02_1/index.m3u8
江西井冈山神山村,http://gctxyc.liveplay.myqcloud.com/gc/wysyxdhp_1/index.m3u8
安徽金寨大湾村,http://gctxyc.liveplay.myqcloud.com/gc/szgk01_1/index.m3u8
山西苛岚宋家沟新村,http://gctxyc.liveplay.myqcloud.com/gc/wysdhpcy_1/index.m3u8
河北张北德胜村,http://gctxyc.liveplay.myqcloud.com/gc/pygc01_1/index.m3u8
新疆天山(海西平台),http://gctxyc.liveplay.myqcloud.com/gc/xjtchxpt_1/index.m3u8
新疆天山(定海神针),http://gctxyc.liveplay.myqcloud.com/gc/xjtcdhsz_1/index.m3u8
新疆天山(马牙山),http://gctxyc.liveplay.myqcloud.com/gc/xjtcmys_1/index.m3u8
新疆天山(灯杆山),http://gctxyc.liveplay.myqcloud.com/gc/xjtcdgs_1/index.m3u8
重庆李子坝轻轨站,http://gctxyc.liveplay.myqcloud.com/gccntv240-lzb01_1/index.m3u8
国家游泳中心(水立方),http://gctxyc.liveplay.myqcloud.com/gccntv241-slf01_1/index.m3u8
湖南张家界天门山西线玻璃栈道,http://gctxyc.liveplay.myqcloud.com/gc/tms05_1/index.m3u8
湖南张家界天门山天门洞,http://gctxyc.liveplay.myqcloud.com/gc/tmstmd01_1/index.m3u8
湖南张家界天门山天空步道,http://gctxyc.liveplay.myqcloud.com/gc/tms02_1/index.m3u8
湖南张家界天门山云梦仙顶,http://gctxyc.liveplay.myqcloud.com/gc/tms04_1/index.m3u8
厦门鼓浪屿,http://gctxyc.liveplay.myqcloud.com/gc/gly01_1/index.m3u8
广西玉林大容山莲花山顶,http://gctxyc.liveplay.myqcloud.com/gc/drs01_1/index.m3u8
八里沟风景区桃花湾瀑布,http://gctxyc.liveplay.myqcloud.com/gc/blg05_1/index.m3u8
八里沟风景区天界山玻璃栈道,http://gctxyc.liveplay.myqcloud.com/gc/blg03_1/index.m3u8
汶川映秀新城,http://gctxyc.liveplay.myqcloud.com/gc/wcyxxc01_1/index.m3u8
十八洞村,http://gctxyc.liveplay.myqcloud.com/gc/sbd01_1/index.m3u8
趵突泉,http://gctxyc.liveplay.myqcloud.com/gc/btq01_1/index.m3u8
安徽池州九华山风景区拜经台,http://gctxyc.liveplay.myqcloud.com/gc/jhs02_1/index.m3u8
安徽池州九华山风景区九华山,http://gctxyc.liveplay.myqcloud.com/gc/jhs05_1/index.m3u8
安徽池州九华山风景区花台,http://gctxyc.liveplay.myqcloud.com/gc/jhs01_1/index.m3u8
江苏徐州云龙湖风景区云龙山观景台西,http://gctxyc.liveplay.myqcloud.com/gc/ylh04_1/index.m3u8
江苏徐州云龙湖风景区云龙山观景台南,http://gctxyc.liveplay.myqcloud.com/gc/ylh03_1/index.m3u8
浙江杭州千岛湖,http://gctxyc.liveplay.myqcloud.com/gc/caqdh_1/index.m3u8
南京玄武湖公园,http://gctxyc.liveplay.myqcloud.com/gc/xwh01_1/index.m3u8
云南丽江玉龙雪山,http://gctxyc.liveplay.myqcloud.com/gc/ylxs11_1/index.m3u8
云南丽江玉液湖,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs02_1/index.m3u8
云南丽江蓝月谷,http://gctxyc.liveplay.myqcloud.com/gc/ylxs12_1/index.m3u8
云南白沙远眺玉龙雪山,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs03_1/index.m3u8
云南丽江一滴水过丽江,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs04_1/index.m3u8
云南丽江玉龙雪山草甸,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs06_1/index.m3u8
云南丽江白水台,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs07_1/index.m3u8
云南丽江蓝月谷中游湖面,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs08_1/index.m3u8
云南丽江高尔夫,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs09_1/index.m3u8
云南丽江冰川,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs05_1/index.m3u8
云南丽江印象实景,http://gctxyc.liveplay.myqcloud.com/gc/hkylxs01_1/index.m3u8
江苏南京牛首山,http://gctxyc.liveplay.myqcloud.com/gc/nss01_1/index.m3u8
福建漳州六鳌翡翠湾,http://gctxyc.liveplay.myqcloud.com/gc/fcw01_1/index.m3u8
福建漳州醉美沙滩翡翠湾,http://gctxyc.liveplay.myqcloud.com/gc/fcw03_1/index.m3u8
天津之眼,http://gctxyc.liveplay.myqcloud.com/gc/tjhh01_1/index.m3u8
天津海河,http://gctxyc.liveplay.myqcloud.com/gc/tjhh01_1/index.m3u8
四川西昌邛海景区,http://gctxyc.liveplay.myqcloud.com/gc/xcqh01_1/index.m3u8
普陀山,http://gctxyc.liveplay.myqcloud.com/gc/pts01_1/index.m3u8
浙江舟山东极岛,http://gctxyc.liveplay.myqcloud.com/gc/djd01_1/index.m3u8
河南郑东新区千玺广场,http://gctxyc.liveplay.myqcloud.com/gc/zdxq01_1/index.m3u8
四川四姑娘山幺妹峰,http://gctxyc.liveplay.myqcloud.com/gc/sgns01_1/index.m3u8
四川四姑娘山隆珠措,http://gctxyc.liveplay.myqcloud.com/gc/sgns02_1/index.m3u8
宁夏沙坡头黄河漂流,http://gctxyc.liveplay.myqcloud.com/gc/nxspthhpl_1/index.m3u8
宁夏沙坡头长河落日,http://gctxyc.liveplay.myqcloud.com/gc/nxsptdmgychlr_1/index.m3u8
宁夏沙坡头大漠孤烟,http://gctxyc.liveplay.myqcloud.com/gc/nxsptdmgy_1/index.m3u8
丽江古城大研花巷观景,http://gctxyc.liveplay.myqcloud.com/gc/ljgcdyhxgjt_1/index.m3u8
丽江古城大水车,http://gctxyc.liveplay.myqcloud.com/gc/ljgcdsc_1/index.m3u8
丽江古城万古楼遥望玉龙雪山,http://gctxyc.liveplay.myqcloud.com/gc/ljgcwglytylxs_1/index.m3u8
狮子山鸟瞰丽江古城,http://gctxyc.liveplay.myqcloud.com/gc/ljgcszsnkgc_1/index.m3u8
云台山小寨沟,http://gctxyc.liveplay.myqcloud.com/gc/ytsxzg_1/index.m3u8
云台山百家岩,http://gctxyc.liveplay.myqcloud.com/gc/ytsbjy_1/index.m3u8
云台山红石峡,http://gctxyc.liveplay.myqcloud.com/gc/ytshsx_1/index.m3u8
云台山茱萸峰,http://gctxyc.liveplay.myqcloud.com/gc/ytszyf_1/index.m3u8
雪乡梦幻家园,http://gctxyc.liveplay.myqcloud.com/gc/mdjxxmhjyxj_1/index.m3u8
雪乡梦幻家园观景台,http://gctxyc.liveplay.myqcloud.com/gc/mdjxxmhjygjt_1/index.m3u8
雪乡大石碑,http://gctxyc.liveplay.myqcloud.com/gc/mdjxxdsb_1/index.m3u8
乌镇蓝印花布,http://gctxyc.liveplay.myqcloud.com/gc/zjwzlyhb_1/index.m3u8
乌镇西市河,http://gctxyc.liveplay.myqcloud.com/gc/zjwzbblh_1/index.m3u8
乌镇龙形田,http://gctxyc.liveplay.myqcloud.com/gc/zjwzlxt_1/index.m3u8
乌镇全景,http://gctxyc.liveplay.myqcloud.com/gc/zjwzblt_1/index.m3u8
凤凰古城南华山,http://gctxyc.liveplay.myqcloud.com/gc/fhgcdnhs_1/index.m3u8
凤凰古城东关门,http://gctxyc.liveplay.myqcloud.com/gc/fhgcdgm_1/index.m3u8
黄花城水长城01,http://gctxyc.liveplay.myqcloud.com/gc/wgw01_1/index.m3u8
黄花城水长城02,http://gctxyc.liveplay.myqcloud.com/gc/wgw02_1/index.m3u8
黄花城水长城03,http://gctxyc.liveplay.myqcloud.com/gc/wgw03_1/index.m3u8
黄花城水长城04,http://gctxyc.liveplay.myqcloud.com/gc/wgw04_1/index.m3u8
鸣沙山,http://gctxyc.liveplay.myqcloud.com/gc/dhyyqst_1/index.m3u8
鸣沙山山门,http://gctxyc.liveplay.myqcloud.com/gc/dhyyqyyq_1/index.m3u8
月牙泉,http://gctxyc.liveplay.myqcloud.com/gc/dhyyqsm_1/index.m3u8
五彩池,http://gctxyc.liveplay.myqcloud.com/gc/hlwcc_1/index.m3u8
黄龙,http://gctxyc.liveplay.myqcloud.com/gc/hlzycc_1/index.m3u8
望乡台,http://gctxyc.liveplay.myqcloud.com/gc/hlwxt_1/index.m3u8
洗身洞,http://gctxyc.liveplay.myqcloud.com/gc/hlxsd_1/index.m3u8
泰山主峰,http://gctxyc.liveplay.myqcloud.com/gc/taishan01_1/index.m3u8
泰山大观峰,http://gctxyc.liveplay.myqcloud.com/gc/taishan03_1/index.m3u8
泰山拱北石,http://gctxyc.liveplay.myqcloud.com/gc/taishan04_1/index.m3u8
泰山玉皇顶,http://gctxyc.liveplay.myqcloud.com/gc/taishan06_1/index.m3u8
泰山十八盘,http://gctxyc.liveplay.myqcloud.com/gc/taishan05_1/index.m3u8
泰山天街,http://gctxyc.liveplay.myqcloud.com/gc/taishan07_1/index.m3u8
泰山经石峪,http://gctxyc.liveplay.myqcloud.com/gc/hkts04_1/index.m3u8
泰山望人松,http://gctxyc.liveplay.myqcloud.com/gc/taishan02_1/index.m3u8
泰山龙潭水库,http://gctxyc.liveplay.myqcloud.com/gc/hkts06_1/index.m3u8
泰山南天门,http://gctxyc.liveplay.myqcloud.com/gc/hkts07_1/index.m3u8
泰山白云亭悬崖,http://gctxyc.liveplay.myqcloud.com/gc/hkts02_1/index.m3u8
泰山扇子崖,http://gctxyc.liveplay.myqcloud.com/gc/hkts08_1/index.m3u8
泰山太平岭,http://gctxyc.liveplay.myqcloud.com/gc/hkts09_1/index.m3u8
泰山碧霞祠,http://gctxyc.liveplay.myqcloud.com/gc/hkts03_1/index.m3u8
泰山玉皇顶东,http://gctxyc.liveplay.myqcloud.com/gc/hkts10_1/index.m3u8
泰山玉皇顶西,http://gctxyc.liveplay.myqcloud.com/gc/hkts11_1/index.m3u8
黄山卧云峰,http://gctxyc.liveplay.myqcloud.com/gc/hswlf_1/index.m3u8
黄山始信新道,http://gctxyc.liveplay.myqcloud.com/gc/hsyg_1/index.m3u8
黄山梦笔生花,http://gctxyc.liveplay.myqcloud.com/gc/hsmbsh_1/index.m3u8
黄山排云亭,http://gctxyc.liveplay.myqcloud.com/gc/hspyt_1/index.m3u8
黄山平天矼,http://gctxyc.liveplay.myqcloud.com/gc/hsptgz_1/index.m3u8
黄山飞来石,http://gctxyc.liveplay.myqcloud.com/gc/hsptgy_1/index.m3u8
黄山光明顶,http://gctxyc.liveplay.myqcloud.com/gc/hsgmd_1/index.m3u8
黄山,http://gctxyc.liveplay.myqcloud.com/gc/ahhs01_1/index.m3u8
福建宁德太姥山景区,http://gctxyc.liveplay.myqcloud.com/gc/tms01_1/index.m3u8
陕西洋县国宝朱鹮01,http://gctxyc.liveplay.myqcloud.com/gc/zhhd01_1/index.m3u8
陕西洋县国宝朱鹮02,http://gctxyc.liveplay.myqcloud.com/gc/zh02_1/index.m3u8
陕西洋县国宝朱鹮03,http://gctxyc.liveplay.myqcloud.com/gc/zh03_1/index.m3u8
陕西洋县国宝朱鹮04,http://gctxyc.liveplay.myqcloud.com/gc/zh04_1/index.m3u8
安徽黟县西递半山亭,http://gctxyc.liveplay.myqcloud.com/gc/yxxdbst_1/index.m3u8
安徽黟县西递牌坊,http://gctxyc.liveplay.myqcloud.com/gc/yxxdpf_1/index.m3u8
安徽黟县宏村月沼,http://gctxyc.liveplay.myqcloud.com/gc/yxhcyz_1/index.m3u8
安徽黟县宏村南湖,http://gctxyc.liveplay.myqcloud.com/gc/yxhcyz_1/index.m3u8
安徽黟县芦村远眺,http://gctxyc.liveplay.myqcloud.com/gc/yxlcyt_1/index.m3u8
深圳世界之窗文化主题公园,http://gctxyc.liveplay.myqcloud.com/gc/sjzc01_1/index.m3u8
八达岭长城南七楼,http://gctxyc.liveplay.myqcloud.com/gc/bgws7_1/index.m3u8
八达岭长城北十楼,http://gctxyc.liveplay.myqcloud.com/gc/bgwn10_1/index.m3u8
中央电视塔东,http://gctxyc.liveplay.myqcloud.com/gc/ztd_1/index.m3u8
中央电视塔南,http://gctxyc.liveplay.myqcloud.com/gc/ztn_1/index.m3u8
中央电视塔北,http://gctxyc.liveplay.myqcloud.com/gc/ztb_1/index.m3u8
恒山悬空寺全景,http://gctxyc.liveplay.myqcloud.com/gc/hsxksqj_1/index.m3u8
恒宗,http://gctxyc.liveplay.myqcloud.com/gc/hsxkssqdzrqj_1/index.m3u8
悬空寺侧景,http://gctxyc.liveplay.myqcloud.com/gc/hsxkssqdzrqj_1/index.m3u8
黄果树银链坠潭瀑布,http://gctxyc.liveplay.myqcloud.com/gc/hgsylztpb_1/index.m3u8
黄果树六角亭瀑布,http://gctxyc.liveplay.myqcloud.com/gc/hgsspzxdpb_1/index.m3u8
天涯鸟瞰,http://gctxyc.liveplay.myqcloud.com/gc/tyhjtynl_1/index.m3u8
天涯石,http://gctxyc.liveplay.myqcloud.com/gc/tyhjtys_1/index.m3u8
南天一柱,http://gctxyc.liveplay.myqcloud.com/gc/tyhjntyz_1/index.m3u8
日月石,http://gctxyc.liveplay.myqcloud.com/gc/tyhjrys_1/index.m3u8
平山湖大峡谷石林,http://gctxyc.liveplay.myqcloud.com/gc/pshdxg02_1/index.m3u8
桂林象山公园,http://gctxyc.liveplay.myqcloud.com/gc/glxs01_1/index.m3u8
六盘山红军长征景区,http://gctxyc.liveplay.myqcloud.com/gc/lpsgmjng01_1/index.m3u8
华山,http://gctxyc.liveplay.myqcloud.com/gc/hkhs01_1/index.m3u8
贵州省兴义市万峰林,http://gctxyc.liveplay.myqcloud.com/gc/xywfl_1/index.m3u8
贵州省兴义市马岭河峡谷,http://gctxyc.liveplay.myqcloud.com/gc/xymlh_1/index.m3u8
贵州省贞丰市双乳峰景区,http://gctxyc.liveplay.myqcloud.com/gc/xysrf_1/index.m3u8
云南大理崇圣寺三塔中景,http://gctxyc.liveplay.myqcloud.com/gc/dlst03_1/index.m3u8
云南大理崇圣寺三塔湖面,http://gctxyc.liveplay.myqcloud.com/gc/dlst02_1/index.m3u8
云南大理崇圣寺三塔远景,http://gctxyc.liveplay.myqcloud.com/gc/dlst01_1/index.m3u8
广西桂林漓江景区,http://gctxyc.liveplay.myqcloud.com/gc/gllj01_1/index.m3u8
青岛崂山双福,http://gctxyc.liveplay.myqcloud.com/gc/qdls03_1/index.m3u8
青岛崂山太清,http://gctxyc.liveplay.myqcloud.com/gc/qdls04_1/index.m3u8
青岛崂山灵旗峰,http://gctxyc.liveplay.myqcloud.com/gc/qdls01_1/index.m3u8
青岛崂山八水河,http://gctxyc.liveplay.myqcloud.com/gc/qdls02_1/index.m3u8
三亚南山文化旅游区海上观音,http://gctxyc.liveplay.myqcloud.com/gc/syns01_1/index.m3u8
仙都风景区,http://gctxyc.liveplay.myqcloud.com/gc/xdfjq01_1/index.m3u8
宁夏黄河大峡谷,http://gctxyc.liveplay.myqcloud.com/gc/hhdxg01_1/index.m3u8
张掖七彩丹霞,http://gctxyc.liveplay.myqcloud.com/gc/zyqcdx01_1/index.m3u8
嵩山少林寺广场,http://gctxyc.liveplay.myqcloud.com/gc/zsslsgc_1/index.m3u8
婺源01,http://gctxyc.liveplay.myqcloud.com/gc/wygjt1_1/index.m3u8
神农架金丝猴01,http://gctxyc.liveplay.myqcloud.com/gc/jshhd01_1/index.m3u8
都江堰鱼嘴,http://gctxyc.liveplay.myqcloud.com/gc/djyqyl1_1/index.m3u8
丹霞山丹梯铁锁,http://gctxyc.liveplay.myqcloud.com/gc/dxsdtts_1/index.m3u8
丹霞山韶音亭,http://gctxyc.liveplay.myqcloud.com/gc/dxssyt_1/index.m3u8
云南红河哈尼梯田多依树景点,http://gctxyc.liveplay.myqcloud.com/gc/hnttdysjd_1/index.m3u8
云南红河哈尼梯田普高老寨,http://gctxyc.liveplay.myqcloud.com/gc/hnttpgsz_1/index.m3u8
云南红河哈尼梯田老虎嘴,http://gctxyc.liveplay.myqcloud.com/gc/hnttlhzjd_1/index.m3u8
江西龙虎山中间水泡,http://gctxyc.liveplay.myqcloud.com/gc/lhszjsp_1/index.m3u8
江西龙虎山山涧栈道,http://gctxyc.liveplay.myqcloud.com/gc/lhssjzd_1/index.m3u8
乐山大佛全景,http://gctxyc.liveplay.myqcloud.com/gc/lsdfgfl_1/index.m3u8
福建武夷山玉女峰,http://gctxyc.liveplay.myqcloud.com/gc/wysynf_1/index.m3u8
为天使护航,http://gctxyc.liveplay.myqcloud.com/gc/zsslsfwsgz_1/index.m3u8
